DATE,GDP,GDP_standardized
2007-10-01,14715.058,1.0012041952377755
2008-01-01,14706.538,1.0000648985284415
2008-04-01,14865.701,1.0213482180293443
2008-07-01,14898.999,1.0258008356147195
2008-10-01,14608.209,0.9869163179965071
2009-01-01,14430.902,0.9632067778976989
2009-04-01,14381.236,0.9565654269158009
2009-07-01,14448.882,0.9656110683711521
2009-10-01,14651.249,0.9926716384624373
2010-01-01,14764.61,1.0078303021087738
2010-04-01,14980.193,1.0366581193022368
2010-07-01,15141.607,1.05824244313327
2010-10-01,15309.474,1.0806896638733796
2011-01-01,15351.448,1.0863024385303723
2011-04-01,15557.539,1.1138609829110422
2011-07-01,15647.68,1.1259146618636309
2011-10-01,15842.259,1.15193381848399
2012-01-01,16068.805,1.1822276110089582
2012-04-01,16207.115,1.2007224616976857
2012-07-01,16319.541,1.2157560968905916
2012-10-01,16420.419,1.229245530393429
2013-01-01,16648.189,1.2597029965301605
2013-04-01,16728.687,1.2704672109090285
2013-07-01,16953.838,1.3005744636558838
2013-10-01,17192.019,1.3324240915345025
2014-01-01,17197.738,1.3331888377646293
2014-04-01,17518.508,1.3760822891088778
2014-07-01,17804.228,1.4142888449528739
2014-10-01,17912.079,1.428710709905733
2015-01-01,18063.529,1.448962644956038
2015-04-01,18279.784,1.4778803221716457
2015-07-01,18401.626,1.4941730674367453
2015-10-01,18435.137,1.4986541674398535
2016-01-01,18525.933,1.5107954331699793
2016-04-01,18711.702,1.5356365142024004
2016-07-01,18892.639,1.5598314588851145
2016-10-01,19089.379,1.5861395850112097
2017-01-01,19280.084,1.6116407093015264
2017-04-01,19438.643,1.632843261758716
2017-07-01,19692.595,1.6668017920320415
2017-10-01,20037.088,1.7128674893663751
2018-01-01,20328.553,1.7518422681675454
2018-04-01,20580.912,1.7855877820490904
2018-07-01,20798.73,1.814714464048347
2018-10-01,20917.867,1.8306454959802598
2019-01-01,21104.133,1.8555530359873924
2019-04-01,21384.775,1.893080560295004
2019-07-01,21694.282,1.9344679202264323
2019-10-01,21902.39,1.9622961783938073
2020-01-01,21706.513,1.9361034528616274
2020-04-01,19913.143,1.6962935303712605
2020-07-01,21647.64,1.9282309393441852
2020-10-01,22024.502,1.97862502813209
2021-01-01,22600.185,2.0556055149301415
2021-04-01,23292.362,2.148163610983725
2021-07-01,23828.973,2.219919379351367
2021-10-01,24654.603,2.3303228467371944
2022-01-01,25029.116,2.3804028266084063
2022-04-01,25544.273,2.4492897602809722
2022-07-01,25994.639,2.5095128238720306
2022-10-01,26408.405,2.5648417255427116
2023-01-01,26813.601,2.6190246444905063
2023-04-01,27063.012,2.6523759510130005
2023-07-01,27610.128,2.7255364508280078
2023-10-01,27956.998,2.771920001246624
2024-01-01,28284.498,2.8157133900150293
